"share_id","category"
"7462897531421622274","Ortho"
"7462897531413286912","Ortho"
"7462897531425931264","Ortho"
"7462897531438477312","Ortho"
"7448845577863344128","Health Systems"
"7448845577854971904","Health Systems"
"7462929798168821760","Behavioural"
"7462929798143578114","Behavioural"
"7462929798328176640","Behavioural"
"7462929798156210177","Behavioural"
"7463338570099888128","Anesthesia"
"7463338599606915072","Anesthesia"
"7463338575854592000","Anesthesia"
"7462899474818830336","Payers"
"7462899474802327552","Payers"
"7462899474848239616","Payers"
"7462899474831683586","Payers"
"7463330119361671168","Radiology"
"7463328575631396864","Radiology"
"7463331139777114112","Radiology"
